Role	ID	ID_Qui	ID_Quoi	Descr	Info	CreatTS	ModifTS	ID_Groupe	
Role	1098	1739	723	M2-jeune assistant du professeur		2024-11-30T09:10:42		0
Role	203	452	596	M1		2024-11-30T09:10:42		0
Role	4119	1993	997	Musicien		2024-11-30T09:10:42		0
Role	741	583	819	M2		2024-11-30T09:10:41		0
Role	450	375	699	M1		2024-11-30T09:10:41		0
Role	815	470	848	M1		2024-11-30T09:10:43		0
Role	3913	1992	2412	Musicien		2024-11-30T09:10:42		0
Role	1193	2236	671	M1- L'amant		2024-11-30T09:10:42		0
Role	5514	543	3932	M1		2024-11-30T09:10:44	2024-01-10T21:52:35	0
Role	1201	536	3850	M2-Le pere Barbeau		2024-11-30T09:10:42		0
Role	1202	452	3850	M1-Landry		2024-11-30T09:10:42		0
Role	751	273	823	F1 alice Fournier		2024-11-30T09:10:41		0
Role	3905	2029	3445	Musicien		2024-11-30T09:10:42		0
Role	4122	2607	3054	Musicien		2024-11-30T09:10:42		0
Role	152	647	568	M2		2024-11-30T09:10:42		0
Role	408	487	679	M1		2024-11-30T09:10:41		0
Role	4019	2575	2413	Musicien		2024-11-30T09:10:42		0
Role	9	442	503	M1		2024-11-30T09:10:41		0
Role	3789	1898	1943	Musicien		2024-11-30T09:10:42		0
Role	778	1	832	F2-la nièce		2024-11-30T09:10:41	2023-12-01T09:23:40	0
Role	3073	2283	3080	Musicien		2024-11-30T09:10:42		0
Role	578	307	754	F1		2024-11-30T09:10:42	2024-05-23T19:29:22	0
Role	352	314	658	F1		2024-11-30T09:10:41		0
Role	659	336	787	F1		2024-11-30T09:10:42		0
Role	589	137	759	F1		2024-11-30T09:10:41		0
Role	427	155	690	F1		2024-11-30T09:10:42	2024-05-23T20:03:00	0
Role	1026	413	548	M2		2024-11-30T09:10:42		0
Role	592	596	759	M2		2024-11-30T09:10:42		0
Role	3912	1992	2346	Musicien		2024-11-30T09:10:41		0
Role	287	604	631	M2		2024-11-30T09:10:41		0
Role	1053	1715	992	F3-Soeur écrivaine		2024-11-30T09:10:41		0
Role	4090	2597	2684	Musicien		2024-11-30T09:10:42		0
Role	142	423	565	M1		2024-11-30T09:10:41		0
Role	4095	2600	2550	Musicien		2024-11-30T09:10:42		0
Role	179	480	586	M1-La Fontaine		2024-11-30T09:10:41		0
Role	1095	1737	723	F2- Soeur d'Adèle		2024-11-30T09:10:42		0
Role	1171	1771	751	M2-anicen marine		2024-11-30T09:10:42		0
Role	4106	2604	3208	Musicien		2024-11-30T09:10:42		0
Role	3672	2189	2398	Musicien		2024-11-30T09:10:43		0
Role	5255	2014	2387			2024-11-30T09:10:43		0
Role	919	194	899	F1		2024-11-30T09:10:42	2024-05-24T08:08:40	0
Role	674	542	795	M2		2024-11-30T09:10:41		0
Role	1073	1726	826	M2		2024-11-30T09:10:42		0
Role	1074	1722	826	M2		2024-11-30T09:10:42		0
Role	740	501	819	M1		2024-11-30T09:10:41		0
Role	355	316	659	F1		2024-11-30T09:10:43		0
Role	175	534	584	M1		2024-11-30T09:10:41		0
Role	194	261	593	F1		2024-11-30T09:10:41	2023-08-22T14:47:07	0
Role	1226	333	3855	Chanteuse		2024-11-30T09:10:42		0
Role	3191	2317	1838	Musicien		2024-11-30T09:10:42		0
Role	417	267	686	F1		2024-11-30T09:10:42		0
